variant,round,sim_time_s,round_time_s,bottleneck_worker,test_accuracy,test_loss,theoretical_error,empirical_error,kappa_mean,epsilon,recalibrated
ef,150,0.4529977971041578,0.0011693921092837262,0,0.8972,0.3625359153747559,36.45008265599019,14.937287032604218,0.09109055814054845,1.361613330245018,True
ef,159,0.46352232608771143,0.0011693921092837262,0,0.8982,0.3572886497497559,27.828733960117802,68.38750219345093,0.8265419642145627,1.361613330245018,False
ef,169,0.47521624718054883,0.0011693921092837262,0,0.8984,0.3483370918273926,27.596336144571797,90.08897376060486,0.9714395310408873,1.361613330245018,False
ef,175,0.4855465581995788,0.004483350472611266,9,0.9009,0.34343011932373047,1.9813398100047583,3.287771761417389,0.835020788073548,1.361613330245018,True
ef,179,0.5034799600900239,0.004483350472611266,9,0.9025,0.3406535484313965,2.508088798816344,0.14558298513293266,0.3543426717977658,1.361613330245018,False
ef,189,0.5483134648161367,0.004483350472611266,9,0.9036,0.33520405349731447,2.210232856236456,0.11389189213514328,0.050393635824573894,1.361613330245018,False
ef,199,0.5931469695422495,0.004483350472611266,9,0.9061,0.3257694938659668,2.2514979045245966,0.12709153443574905,0.01777497455344847,1.361613330245018,False
per_layer,9,0.029630938619041387,0.002963093861904139,5,0.399,2.1580405029296874,1.232812609315123,0.48334993422834693,0.18895427413095756,1.361613330245018,False
per_layer,19,0.05926187723808277,0.002963093861904139,5,0.5283,1.9284182250976563,1.8941163144128206,0.7746923714953147,0.10868612305725045,1.361613330245018,False
per_layer,25,0.07803703482614736,0.003959688278543868,5,0.6327,1.723043539428711,1.8811988944593923,0.5175424665229088,0.09501689041682969,1.361613330245018,True
per_layer,29,0.09387578794032285,0.003959688278543868,5,0.6484,1.5632895111083984,1.9614864743781144,0.35145966708911913,0.06587444754945274,1.361613330245018,False
per_layer,39,0.13347267072576155,0.003959688278543868,5,0.7375,1.1563784790039062,2.4985012264185653,0.3306645378507236,0.039591692669083065,1.361613330245018,False
per_layer,49,0.17306955351120026,0.003959688278543868,5,0.8099,0.8732385589599609,2.9085680888549477,0.28007636964641974,0.028828532639346247,1.361613330245018,False
per_layer,50,0.17726839664721214,0.004198843136011876,5,0.8097,0.8515302642822266,2.4534267098030997,0.23698534816923086,0.028283652937904812,1.361613330245018,True
per_layer,59,0.21505798487131902,0.004198843136011876,5,0.8361,0.7049956710815429,2.9509922290870594,0.22394555808071037,0.023261278464415436,1.361613330245018,False
per_layer,69,0.2570464162314378,0.004198843136011876,5,0.8388,0.6098002044677734,2.3529567503180773,0.17206723988610217,0.021305534650639616,1.361613330245018,False
per_layer,75,0.2819100494719662,0.0038694175604690015,5,0.8458,0.5882402801513672,23.34664027203872,1.360505923628807,0.0191162332965624,1.361613330245018,True
per_layer,79,0.29738771971384215,0.0038694175604690015,5,0.8633,0.5376410949707031,3.098671389653666,0.2231117934003739,0.023196038971244195,1.361613330245018,False
per_layer,89,0.33608189531853205,0.0038694175604690015,5,0.8755,0.49037307434082034,2.1315972808674637,0.23028851673070194,0.025073592807808315,1.361613330245018,False
per_layer,99,0.37477607092322196,0.0038694175604690015,5,0.8809,0.4553879364013672,2.443703929729994,0.2416216507564907,0.026005734920598853,1.361613330245018,False
per_layer,100,0.37916786379392764,0.00439179287070567,9,0.8801,0.45061703186035157,2.636175385343961,0.18877354264512464,0.024818408650113564,1.361613330245018,True
per_layer,109,0.41869399963027876,0.00439179287070567,9,0.8859,0.42832375793457034,3.3070253009809063,0.19409044832173294,0.01860925055415066,1.361613330245018,False
per_layer,119,0.46261192833733555,0.00439179287070567,9,0.8892,0.40737196426391603,1.803146136258337,0.12254017033574678,0.017075426193497018,1.361613330245018,False
per_layer,125,0.48934511531770997,0.004774222626846017,0,0.889,0.3990996223449707,1.8733343301191263,0.12497998588095185,0.017824687159717408,1.361613330245018,True
per_layer,129,0.508442005825094,0.004774222626846017,0,0.891,0.39235916748046873,2.008776902567866,0.11708815768633754,0.015686816394672905,1.361613330245018,False
per_layer,139,0.5561842320935542,0.004774222626846017,0,0.895,0.37615517349243166,2.490031937456924,0.14926804229749918,0.014051670571054789,1.361613330245018,False
per_layer,149,0.6039264583620143,0.004774222626846017,0,0.8983,0.36535682067871095,2.1835665917166023,0.09976829030079364,0.013303691932473488,1.361613330245018,False
per_layer,150,0.6083824877597832,0.00445602939776888,5,0.8956,0.3638177833557129,2.7665909086675162,0.18283966556303072,0.013819974183606094,1.361613330245018,True
per_layer,159,0.6484867523397033,0.00445602939776888,5,0.8997,0.3550268280029297,2.0613050712283902,0.14593654125957192,0.016550322286515075,1.361613330245018,False
per_layer,169,0.6930470463173923,0.00445602939776888,5,0.9004,0.34628352966308595,2.053722101729343,0.1273538433023681,0.016582390788224616,1.361613330245018,False
per_layer,175,0.7188951178426756,0.003567924536438695,9,0.8999,0.3441186820983887,3.1667003532428644,0.2682214453827956,0.017123485718566384,1.361613330245018,True
per_layer,179,0.7331668159884305,0.003567924536438695,9,0.9024,0.3408414421081543,4.26557682094221,0.6313947960737768,0.02987424102703118,1.361613330245018,False
per_layer,189,0.7688460613528177,0.003567924536438695,9,0.904,0.33513383178710937,3.7378106079769373,0.5205480307356065,0.03463045522415673,1.361613330245018,False
per_layer,199,0.804525306717205,0.003567924536438695,9,0.906,0.32585236206054685,3.827326223752644,0.5342378020299715,0.03542416087711138,1.361613330245018,False
per_layer_ef,9,0.029630938619041387,0.002963093861904139,5,0.399,2.1580405029296874,1.232812609315123,0.48334993422834693,0.18895427413095756,1.361613330245018,False
per_layer_ef,19,0.05926187723808277,0.002963093861904139,5,0.5283,1.9284182250976563,1.8941163144128206,0.7746923714953147,0.10868612305725045,1.361613330245018,False
per_layer_ef,25,0.07567892012047808,0.0016015735728745842,5,0.631,1.7277292877197266,7.713935089366502,3.7722116967197508,0.12657806573725444,1.361613330245018,True
per_layer_ef,29,0.08208521441197644,0.0016015735728745842,5,0.6467,1.580721011352539,8.030882169841554,24.20242138230242,0.23663651007226497,1.361613330245018,False
per_layer_ef,39,0.09810095014072234,0.0016015735728745842,5,0.7314,1.1871027465820312,10.85597484261241,110.61293344455771,0.3030431414719276,1.361613330245018,False
per_layer_ef,49,0.11411668586946824,0.0016015735728745842,5,0.8022,0.8972405090332031,10.903460977885818,186.5923485478852,0.30699282316313087,1.361613330245018,False
per_layer_ef,50,0.11834156916210581,0.004224883292637567,5,0.8077,0.8525562286376953,2.4063969727306658,34.1322898866113,0.29560036689451036,1.361613330245018,True
