scheme,K,round,sim_time_s,round_time_s,test_accuracy,test_loss,theoretical_error,empirical_error,epsilon,recalibrated,alpha_w0,alpha_w1,alpha_w2,alpha_w3,alpha_w4,alpha_w5,alpha_w6,alpha_w7,r_w0,r_w1,r_w2,r_w3,r_w4,r_w5,r_w6,r_w7
static,0,294,0.3496531421362115,0.0011852648885973312,0.9176,0.285384330368042,4.312944336384814,5.612736667157151,2.135229957103729,False,1.889867901802063,4.10208797454834,1.924666404724121,3.3364756107330322,1.9450697898864746,1.8011281490325928,1.5442891120910645,1.9933710098266602,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
static,0,299,0.35557946657919814,0.0011852648885973312,0.9172,0.2836234748840332,6.947774423929432,6.970743060228415,2.135229957103729,False,3.5614850521087646,1.071549892425537,1.7813968658447266,3.3587779998779297,1.4867644309997559,3.0107293128967285,6.191215515136719,3.626145362854004,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,4,0.005926324442986656,0.0011852648885973312,0.2124,2.234700799560547,1.3608494466005685,2.321991468546912,2.135229957103729,False,0.6196687817573547,0.6173453330993652,0.9292988181114197,0.8477376103401184,0.5599475502967834,0.7118910551071167,0.6510965824127197,0.5208845138549805,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,9,0.011852648885973312,0.0011852648885973312,0.3588,2.1604151428222655,1.6661817554266505,4.107777504832484,2.135229957103729,False,0.698257327079773,0.6458909511566162,0.6985985636711121,0.752412736415863,0.6262328028678894,0.7972087264060974,0.6308466196060181,0.8054717779159546,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,14,0.017778973328959967,0.0011852648885973312,0.4584,2.0650218688964843,1.9771169948804712,5.943431520019658,2.135229957103729,False,0.9631366729736328,0.8244026303291321,0.823790431022644,1.0626851320266724,1.1496880054473877,0.9829139113426208,1.060889720916748,0.8292636871337891,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,19,0.023705297771946632,0.0011852648885973312,0.5142,1.935390838623047,2.8043941499877816,8.876128511386923,2.135229957103729,False,1.1664191484451294,1.4598524570465088,1.2707602977752686,1.2171012163162231,1.0120668411254883,1.2273423671722412,1.3135721683502197,1.4186115264892578,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,24,0.029631622214933297,0.0011852648885973312,0.581,1.7705960632324218,3.46215728473484,11.43896932573989,2.135229957103729,False,1.6799750328063965,1.449822187423706,1.4571850299835205,1.2900618314743042,1.693349838256836,1.4719831943511963,1.6724483966827393,1.789736032485962,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,29,0.03555794665791996,0.0011852648885973312,0.6409,1.5836097747802735,4.140966947763802,14.179600889096037,2.135229957103729,False,1.8434511423110962,1.5526525974273682,1.922062635421753,2.0981922149658203,1.5064876079559326,1.6179192066192627,1.8534480333328247,2.306516408920288,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,34,0.041484271100906626,0.0011852648885973312,0.7032,1.3675856964111328,5.313532014719762,16.973808080656454,2.135229957103729,False,2.139921188354492,2.312063694000244,2.077786445617676,1.7846601009368896,2.7246484756469727,2.682095766067505,2.4250035285949707,2.3838648796081543,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,39,0.04741059554389329,0.0011852648885973312,0.7416,1.1711152221679688,5.220893635107915,17.845681932987645,2.135229957103729,False,2.0813426971435547,2.3833060264587402,2.082430362701416,2.4752490520477295,2.230741024017334,2.180283308029175,3.0462546348571777,2.708280563354492,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,44,0.053336919986879956,0.0011852648885973312,0.7741,1.00870703125,4.489685485599434,15.991389587987214,2.135229957103729,False,1.6987481117248535,1.983412265777588,2.2469921112060547,2.60577130317688,1.8709335327148438,2.417160987854004,1.784492015838623,1.7955877780914307,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,49,0.05926324442986662,0.0011852648885973312,0.7936,0.8874848785400391,5.49343742792829,13.183733825804666,2.135229957103729,False,2.2111992835998535,4.062473297119141,1.9383394718170166,1.8287248611450195,1.3976919651031494,2.5232629776000977,2.246763229370117,2.733764171600342,0.7326088896453028,0.7326088896730962,0.7326088894966694,0.7326088896928872,0.7326088896261265,0.07326088871711724,0.7326088896010724,0.07326088869012011
adaptive-K50,50,50,0.0623396352077689,0.0030763907779022765,0.7975,0.860085791015625,2.268046547183548,3.2693982124328613,2.135229957103729,True,2.7761547565460205,1.5328125953674316,1.8961127996444702,2.0902698040008545,2.12290620803833,2.603170871734619,2.5696115493774414,2.912759304046631,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,54,0.07464519831937802,0.0030763907779022765,0.8018,0.7853915710449219,1.9808918343383106,0.2070332169532776,2.135229957103729,False,3.5630598068237305,1.5280628204345703,1.2796096801757812,1.5046918392181396,1.9382753372192383,2.082425117492676,3.01318621635437,2.7351396083831787,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,59,0.09002715220888943,0.0030763907779022765,0.8287,0.7178519790649414,2.1587302851098182,0.21059498190879822,2.135229957103729,False,3.7573423385620117,3.823594570159912,2.281986951828003,1.5708982944488525,3.847054958343506,2.2951622009277344,2.030155658721924,2.954908847808838,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,64,0.10540910609840085,0.0030763907779022765,0.838,0.6559056823730469,2.3277997602212506,0.2400699332356453,2.135229957103729,False,2.235347270965576,3.479580879211426,2.2181220054626465,1.6404750347137451,2.356020450592041,2.9792208671569824,3.72794508934021,2.682030200958252,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,69,0.12079105998791226,0.0030763907779022765,0.8446,0.6111973220825195,2.107910742390429,0.20694610476493835,2.135229957103729,False,4.890240669250488,3.575443744659424,2.217219352722168,2.2769925594329834,1.7549629211425781,2.6921708583831787,2.1419119834899902,2.4343061447143555,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,74,0.13617301387742367,0.0030763907779022765,0.8617,0.5702674362182617,2.0883414478869122,0.23197286576032639,2.135229957103729,False,2.0741899013519287,3.294157028198242,2.9529380798339844,3.0502209663391113,2.6639370918273926,2.3725078105926514,2.8882737159729004,2.706376314163208,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,79,0.15155496776693508,0.0030763907779022765,0.8643,0.5432604751586914,1.6558889447155274,0.24388298392295837,2.135229957103729,False,3.0536530017852783,2.5158238410949707,2.94134521484375,2.921933174133301,3.4492506980895996,2.641944408416748,1.9580142498016357,1.3852074146270752,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,84,0.1669369216564465,0.0030763907779022765,0.8683,0.5159611358642578,1.9466858855289102,0.22919072210788727,2.135229957103729,False,1.7704746723175049,1.5816545486450195,3.455292224884033,2.202235221862793,3.3814539909362793,2.5642712116241455,2.310213565826416,2.1701040267944336,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,89,0.1823188755459579,0.0030763907779022765,0.8759,0.49093968811035155,2.4487047265892268,0.2767432704567909,2.135229957103729,False,2.824294090270996,2.9947688579559326,2.3329215049743652,2.5041821002960205,1.7009357213974,3.1463351249694824,1.1580681800842285,2.8089590072631836,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,94,0.19770082943546932,0.0030763907779022765,0.8668,0.48355738525390624,1.7909247153498005,0.20383892208337784,2.135229957103729,False,2.112339973449707,5.4300408363342285,2.6038267612457275,2.415186882019043,3.8830974102020264,2.9591360092163086,2.3869290351867676,1.3964252471923828,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,99,0.21308278332498073,0.0030763907779022765,0.8783,0.4566706985473633,1.6030372226020164,0.19017291814088821,2.135229957103729,False,2.7449021339416504,2.6561667919158936,3.064814329147339,2.3645753860473633,3.67789363861084,2.194099187850952,2.9273805618286133,1.7045162916183472,0.9999850263846076,0.9999863577862911,0.9999811865203624,0.9999843472920837,0.999983201107192,0.3587659120187162,0.9999842288142898,0.35876591201139735
adaptive-K50,50,100,0.21576528204169823,0.002682498716717486,0.8804,0.4523144676208496,2.9150021043905943,0.40394356846809387,2.135229957103729,True,4.214027404785156,3.0192902088165283,5.308215141296387,2.3553249835968018,1.4583015441894531,1.712937355041504,2.2529728412628174,4.224160671234131,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,104,0.22649527690856822,0.002682498716717486,0.8769,0.4505987159729004,2.3203335728737073,0.3766895532608032,2.135229957103729,False,2.5243892669677734,1.8232611417770386,4.836465358734131,3.7693591117858887,2.68198299407959,2.4585084915161133,2.952651023864746,2.2674050331115723,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,109,0.2399077704921557,0.002682498716717486,0.8862,0.4297687850952148,2.481947077289518,0.3095993101596832,2.135229957103729,False,4.343325138092041,1.654167652130127,3.3102333545684814,1.9954861402511597,2.8869168758392334,2.4422736167907715,3.7646093368530273,2.612804412841797,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,114,0.25332026407574315,0.002682498716717486,0.8827,0.4234536323547363,2.8820371223210937,0.4133635312318802,2.135229957103729,False,3.098412036895752,1.6324933767318726,2.2124505043029785,2.421806812286377,2.371781587600708,3.551447629928589,1.8543611764907837,2.318509340286255,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,119,0.26673275765933063,0.002682498716717486,0.8894,0.4087187690734863,2.0389974069133463,0.43938811123371124,2.135229957103729,False,1.2838271856307983,2.5720014572143555,2.7027769088745117,4.991559982299805,2.268024444580078,1.5634105205535889,1.8487827777862549,2.5894947052001953,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,124,0.2801452512429181,0.002682498716717486,0.8889,0.40168521957397463,3.2176969680348706,0.4067065715789795,2.135229957103729,False,2.2121639251708984,2.14552640914917,1.9236934185028076,3.8516759872436523,2.306903123855591,5.305179595947266,2.987028121948242,1.2484288215637207,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,129,0.2935577448265056,0.002682498716717486,0.8866,0.39838995208740235,3.8540081782858087,0.44735339283943176,2.135229957103729,False,2.556939125061035,1.6475286483764648,2.1394758224487305,2.4867544174194336,2.6001882553100586,4.800706386566162,2.2009358406066895,3.0489017963409424,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,134,0.3069702384100931,0.002682498716717486,0.8917,0.3864184555053711,2.8097815285311514,0.43032383918762207,2.135229957103729,False,1.7544384002685547,3.4436886310577393,1.3489725589752197,2.0783329010009766,2.486621141433716,3.1781063079833984,2.72434401512146,2.544684886932373,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,139,0.32038273199368056,0.002682498716717486,0.8938,0.379282160949707,2.825030568070256,0.4085243046283722,2.135229957103729,False,2.508380889892578,2.990664482116699,1.843871831893921,1.5290253162384033,3.182063579559326,2.004837989807129,1.3430285453796387,3.749011516571045,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
adaptive-K50,50,144,0.33379522557726804,0.002682498716717486,0.8945,0.37465483322143556,3.5894240907748864,0.41108642518520355,2.135229957103729,False,2.790235996246338,3.8215417861938477,1.4205291271209717,3.159511089324951,1.7318910360336304,4.419209003448486,2.741785764694214,2.891510486602783,0.9999816872325572,0.9999773702226115,0.9999815118064234,0.999977857990369,0.99998468528438,0.29929966345738623,0.9999916965278327,0.299299663503547
